分類,品牌名稱,注音,品牌旗艦館連結,品牌旗艦館APP連結,大網LOGO,小網LOGO,品牌Logo背景圖
美食,東森小食堂,ㄉ,https://www.etmall.com.tw/bs/165769,a11,https://media.etmall.com.tw/Promo/Image/Kanban/70/303462/a1504f8e-2011-4c99-bb98-c7796d9acb4d.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/303462/f93c50b1-08e9-4339-89b7-2064eda44bee.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/303462/612427c4-1cb3-499c-b257-c1505735a7d4.jpg
美妝保健,船井生醫,ㄔ,https://www.etmall.com.tw/bs/53595,a12,https://media.etmall.com.tw/Promo/Image/BrandPublish/53595/2017121217148_171122_04_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53595/2017121217143_160x160.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/158148/961ff4a2-e60a-4ab5-a39e-828859c2a8b8.jpg
美妝保健,DeMon,,https://www.etmall.com.tw/bs/151125,a13,//media.etmall.com.tw/Promo/Image/Kanban/70/199515/c16d93f9-21c6-4ff0-ac9d-dfdacec28054.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/199515/4fdf80cd-438b-43e0-af2a-0dbf0e0b67b8.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/199515/78d76947-b096-455b-8eee-9fa4dca385e6.jpg
美食,可口可樂,ㄎ,https://www.etmall.com.tw/bs/162580,a14,https://media.etmall.com.tw/Promo/Image/Kanban/70/235105/d987ada5-6e71-4f89-bc5f-ced05742875c.jpeg,https://media.etmall.com.tw/Promo/Image/Kanban/70/235105/3fb4ae6c-8bbb-42b6-993c-32c2ebed27e9.jpeg,https://media.etmall.com.tw/Promo/Image/Kanban/70/235105/2570829a-864f-45be-a2d8-271965141e26.jpeg
日用／婦幼,奇哥,ㄑ,https://www.etmall.com.tw/bs/113206,a15,https://media.etmall.com.tw/Promo/Image/BrandPublish/113206/2017122117397_230x90_logo.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113206/2017122117398_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/113206/2017122117392_750x200.jpg
美妝保健,華陀扶元堂,ㄏ,https://www.etmall.com.tw/bs/53597,a16,https://media.etmall.com.tw/Promo/Image/BrandPublish/53597/20181912173_230x90.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53597/20181912173_160x160.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53597/20181912178_750X200.jpg
美食,鮮食家,ㄒ,https://www.etmall.com.tw/bs/162830,a17,https://media.etmall.com.tw/Promo/Image/Kanban/70/239122/a060d1cc-03d7-4a59-afde-0a3a6da91a49.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/239122/09549e5e-8ba6-4dd6-8a8b-76b4c0e789a0.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/239122/cb948348-a888-4b99-90ba-e9133e376fbf.jpg
衣／鞋／錶,可蘭霓,ㄎ,https://www.etmall.com.tw/bs/149905,a18,//media.etmall.com.tw/Promo/Image/Kanban/70/193164/ac08b892-1293-4564-b40d-ebb74ab87e54.png,//media.etmall.com.tw/Promo/Image/Kanban/70/193164/b5463342-e0e9-42be-ac98-a5ac9af94cea.png,//media.etmall.com.tw/Promo/Image/Kanban/70/193164/6501bd9f-67b7-4750-a7bf-97f31fc94ee0.png
衣／鞋／錶,華歌爾,ㄏ,https://www.etmall.com.tw/bs/175837,a19,https://media.etmall.com.tw/Promo/Image/Kanban/70/300199/1f2cacad-2ff7-4b2a-99cf-382d3eb3c8cd.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/300199/69871d96-2458-4764-a52b-0fb152ce16ff.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/300199/afb036fc-b97c-4a64-ae1d-eb4a7f0836bf.png
衣／鞋／錶,NATURALLY JOJO,,https://www.etmall.com.tw/bs/86532,a20,//media.etmall.com.tw/Promo/Image/Kanban/70/201827/79f43769-c3fb-4751-ac34-5ca69f2da672.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/201827/8d4a9152-d18c-44c3-b5ab-8dc743520b02.jpg,//media.etmall.com.tw/Promo/Image/Kanban/70/201827/931439ed-d895-4681-9a8a-13bcfd962b60.jpg
日用／婦幼,鍋寶,ㄍ,https://www.etmall.com.tw/bs/53340,a21,//media.etmall.com.tw/Promo/Image/Kanban/70/158144/ed5b6b04-8c77-4ab4-a768-b78b562f5fad.png,//media.etmall.com.tw/Promo/Image/Kanban/70/158144/80e90c3a-a895-426a-9d7d-e2142416031a.jpg,https://media.etmall.com.tw/Promo/Image/BrandPublish/53340/201712121621_品牌-Logo背景圖_750x200.jpg
美食,愛上新鮮,ㄞ,https://www.etmall.com.tw/bs/161413,a22,https://media.etmall.com.tw/Promo/Image/Kanban/70/225308/ccdfb4a5-7f4a-4111-91d1-de3e13e1fb52.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/225308/5a8406fd-11a2-4b61-a812-33740463788b.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/225308/9fab7f50-6b53-4e77-a257-2a866d07495e.jpg
衣／鞋／錶,satana,,https://www.etmall.com.tw/bs/161539,a23,https://media.etmall.com.tw/Promo/Image/Kanban/70/227675/5ad24999-edf9-4c00-a8c6-69f0c44d9ebe.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/227675/c363a3dc-7b74-454f-8689-21dd775c14ca.jpg,https://media.etmall.com.tw/Promo/Image/Kanban/70/227675/acf2f3be-d06f-4624-bd18-b26130f87daa.jpg
